,area_type,availability,location,size,total_sqft,bath,balcony,price
169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470.0,2.0,2.0,70.0
170,Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300.0,6.0,0.0,99.0
171,Super built-up  Area,Ready To Move,Attibele,1 BHK,450.0,1.0,1.0,11.0
172,Super built-up  Area,18-Apr,Electronic City,2 BHK,1152.0,2.0,1.0,64.5
173,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350.0,2.0,1.0,56.0
174,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65.0
175,Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,2.0,100.0
176,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,600.0,3.0,2.0,85.0
177,Plot  Area,Ready To Move,Nagavara,1 Bedroom,400.0,1.0,0.0,14.0
178,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705.0,1.0,2.0,67.0
179,Built-up  Area,Ready To Move,Electronic City,2 BHK,770.0,1.0,1.0,36.0
180,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242.0,2.0,3.0,51.0
181,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,155.0
182,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144.0,3.0,2.0,145.0
183,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704.0,3.0,2.0,110.0
184,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,52.0
185,Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,1846.0,3.0,2.0,300.0
186,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340.0,2.0,2.0,55.7
187,Built-up  Area,Ready To Move,Electronic City,2 BHK,1025.0,2.0,1.0,46.0
188,Super built-up  Area,Ready To Move,KR Puram,2 BHK,1277.5,2.0,0.0,56.8
189,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,52.0
190,Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250.0,4.0,1.0,110.0
191,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,80.0
192,Plot  Area,Ready To Move,Bellandur,4 Bedroom,1200.0,5.0,0.0,325.0
193,Plot  Area,Ready To Move,Ejipura,7 Bedroom,1800.0,7.0,1.0,250.0
194,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,60.0
195,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327.0,2.0,2.0,98.0
196,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186.0,2.0,2.0,58.0
197,Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,1783.0,3.0,1.0,115.0
198,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400.0,3.0,2.0,56.0
199,Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980.0,2.0,1.0,48.0
200,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285.0,2.0,2.0,82.0
201,Super built-up  Area,Ready To Move,Langford Town,3 BHK,912.0,2.0,1.0,70.0
202,Built-up  Area,Ready To Move,Whitefield,2 BHK,1225.0,2.0,2.0,47.6
203,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075.0,2.0,1.0,53.0
204,Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260.0,2.0,2.0,54.0
205,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282.0,2.0,2.0,48.7
206,Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909.0,3.0,2.0,88.0
207,Super built-up  Area,Ready To Move,Panathur,2 BHK,1359.0,2.0,1.0,87.0
208,Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207.0,2.0,2.0,43.5
209,Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736.0,6.0,0.0,190.0
210,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850.0,4.0,1.0,428.0
211,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595.0,3.0,2.0,65.0
212,Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,1798.0,3.0,2.0,89.0
213,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78.29
214,Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580.0,3.0,3.0,100.0
215,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295.0,2.0,1.0,65.0
216,Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600.0,6.0,0.0,141.0
217,Super built-up  Area,Ready To Move,Electronic City,1 BHK,589.0,1.0,1.0,27.0
218,Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415.0,3.0,3.0,78.0
219,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,98.29
220,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125.0
221,Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475.0,2.0,3.0,90.0
222,Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,1.0,75.5
223,Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984.0,2.0,1.0,44.28
224,Super built-up  Area,19-Dec,Devanahalli,3 BHK,1630.0,2.0,0.0,74.82
225,Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405.0,4.0,2.0,260.0
226,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72.0
227,Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,1500.0,2.0,1.0,115.0
228,Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900.0,3.0,2.0,119.0
229,Super built-up  Area,19-Aug,Dommasandra,2 BHK,805.0,2.0,1.0,22.14
230,Super built-up  Area,Ready To Move,Budigere,2 BHK,1153.0,2.0,2.0,56.4
231,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,2.0,60.0
232,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110.0,2.0,2.0,55.0
233,Built-up  Area,Ready To Move,Electronic City,2 BHK,1100.0,2.0,2.0,42.0
234,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290.0,2.0,2.0,110.0
235,Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,1.0,65.0
236,Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,1080.0,2.0,2.0,39.0
237,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933.0,3.0,1.0,129.0
238,Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,2.0,150.0
239,Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1060.0,2.0,2.0,60.0
240,Super built-up  Area,18-Aug,Chandapura,1 BHK,645.0,1.0,1.0,16.45
241,Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,2600.0,8.0,2.0,180.0
242,Super built-up  Area,18-Sep,Chandapura,1 BHK,645.0,1.0,1.0,16.45
243,Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644.0,3.0,3.0,84.0
244,Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285.0,2.0,3.0,72.5
245,Plot  Area,Ready To Move,Electronic City,3 Bedroom,1200.0,3.0,1.0,90.0
246,Super built-up  Area,Ready To Move,Electronic City,2 BHK,910.0,2.0,1.0,40.0
247,Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577.0,3.0,1.0,70.0
248,Plot  Area,17-May,Meenakunte,3 Bedroom,4050.0,3.0,2.0,280.0
249,Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420.0,3.0,2.0,185.0
250,Super built-up  Area,Ready To Move,Chandapura,2 BHK,800.0,1.0,1.0,20.0
251,Built-up  Area,Ready To Move,Anand Nagar,2 BHK,1060.0,2.0,2.0,55.0
252,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,93.0
253,Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,900.0,2.0,2.0,22.5
254,Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,1280.0,2.0,1.0,69.0
255,Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1200.0,2.0,0.0,95.0
256,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025.0,2.0,2.0,36.0
257,Super built-up  Area,17-Jun,Electronic City,2 BHK,1108.0,2.0,1.0,63.0
258,Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,1200.0,5.0,0.0,170.0
259,Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045.0,3.0,2.0,170.0
260,Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,2900.0,3.0,2.0,300.0
261,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500.0,3.0,2.0,75.5
262,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,43.9
263,Super built-up  Area,Ready To Move,Budigere,2 BHK,1162.0,2.0,1.0,59.9
264,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035.0,2.0,2.0,49.2
265,Built-up  Area,Ready To Move,Attibele,4 Bedroom,1600.0,4.0,0.0,52.8
266,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,46.0
267,Super built-up  Area,18-Oct,Hennur Road,3 BHK,1866.0,2.0,2.0,61.58
268,Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700.0,1.0,1.0,26.0
269,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,120.0
270,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,913.0,2.0,1.0,32.0
271,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,1868.0,3.0,2.0,131.0
272,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,883.0,2.0,1.0,45.0
273,Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,900.0,2.0,1.0,110.0
274,Super built-up  Area,Ready To Move,Kogilu,3 BHK,1664.0,2.0,3.0,73.95
275,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2026.0,3.0,2.0,132.0
276,Super built-up  Area,Ready To Move,Balagere,2 BHK,1210.0,2.0,1.0,80.9
277,Plot  Area,Ready To Move,Meenakunte,4 Bedroom,4111.0,4.0,2.0,250.0
278,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1762.0,3.0,3.0,91.45
279,Super built-up  Area,Ready To Move,Jigani,3 BHK,1252.0,3.0,3.0,55.0
280,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,34.5
281,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420.0,2.0,1.0,100.0
282,Plot  Area,Ready To Move,Srirampura,6 Bedroom,1450.0,6.0,0.0,250.0
283,Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490.0,3.0,1.0,78.8
